  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.97  149.87  149.47  148.24  145.32  140.25  133.81  127.44  122.00  117.85  115.25  114.26  114.85  116.58  118.18  118.19  116.26  113.19  109.82  106.65  104.04  101.95  100.47   99.68   99.12   98.45   97.52   96.32   95.07   93.64   92.19   90.94   89.93   89.07   88.30   87.57   86.81   85.87   84.53   82.77   80.51   77.32   73.17   69.73   67.09   66.11   66.91   68.42   69.61   70.33   70.67   70.89   71.15   71.34   71.29   71.00   70.55   70.09   69.76   69.40   68.82   68.04   67.19   66.44   66.08   65.98   65.70   65.05   64.03   62.93   62.06   61.36   60.83   60.39   59.98   59.82   59.80   59.79   59.74   59.71   59.72   59.74   59.65   59.30   58.68   58.03   57.34   56.55   56.21   56.21
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.97  149.87  149.47  148.24  145.32  140.25  133.81  127.44  122.00  117.85  115.25  114.26  114.85  116.58  118.18  118.19  116.26  113.19  109.82  106.65  104.04  101.95  100.47   99.68   99.12   98.45   97.52   96.32   95.07   93.64   92.19   90.94   89.93   89.07   88.30   87.57   86.81   85.87   84.53   82.77   80.51   77.32   73.17   69.73   67.09   66.11   66.91   68.42   69.61   70.33   70.67   70.89   71.15   71.34   71.29   71.00   70.55   70.09   69.76   69.40   68.82   68.04   67.19   66.44   66.08   65.98   65.70   65.05   64.03   62.93   62.06   61.36   60.83   60.39   59.98   59.82   59.80   59.79   59.74   59.71   59.72   59.74   59.65   59.30   58.68   58.03   57.34   56.55   56.21   56.21
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.95  149.80  149.25  147.66  144.14  138.52  131.96  125.76  120.46  116.43  113.90  112.82  113.16  114.59  115.90  115.74  113.79  110.79  107.62  104.91  102.81  101.09   99.63   98.53   97.69   96.93   96.02   94.82   93.48   91.98   90.55   89.42   88.58   87.85   87.15   86.45   85.72   84.79   83.39   81.57   79.27   76.15   72.31   69.29   66.76   65.35   65.66   66.98   68.25   69.13   69.59   69.91   70.28   70.59   70.64   70.40   70.02   69.64   69.38   69.05   68.42   67.52   66.47   65.46   64.83   64.52   64.12   63.40   62.45   61.59   61.03   60.60   60.25   59.97   59.74   59.75   59.84   59.82   59.66   59.51   59.43   59.39   59.28   58.93   58.37   57.78   57.19   56.55   56.29   56.29
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.97  149.89  149.65  148.88  146.83  142.59  136.39  129.75  123.80  118.67  114.72  112.16  110.82  110.67  111.50  112.27  111.87  109.89  106.87  103.88  101.83  100.41   99.07   97.60   96.18   95.06   94.20   93.28   92.09   90.73   89.30   88.00   87.03   86.35   85.79   85.22   84.55   83.80   82.88   81.50   79.71   77.58   74.91   71.80   69.08   66.30   64.16   63.69   64.63   65.95   67.07   67.76   68.30   68.92   69.44   69.60   69.43   69.15   68.90   68.76   68.52   67.91   66.93   65.66   64.27   63.16   62.42   61.73   60.87   59.94   59.32   59.20   59.21   59.19   59.23   59.32   59.53   59.69   59.58   59.25   58.93   58.74   58.63   58.53   58.29   57.89   57.43   57.00   56.54   56.34   56.34
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.97  149.90  149.73  149.33  148.38  146.09  141.55  135.21  128.72  122.90  117.77  113.69  110.84  108.95  108.00  107.94  108.10  107.62  105.75  102.68   99.72   98.20   97.29   96.07   94.44   92.79   91.49   90.51   89.52   88.30   87.02   85.87   84.90   84.17   83.65   83.27   82.85   82.19   81.32   80.38   79.13   77.50   75.56   73.22   70.44   67.47   64.11   61.36   60.44   61.25   62.75   64.14   65.14   66.06   67.13   67.99   68.33   68.26   68.08   67.99   68.00   67.89   67.40   66.44   65.05   63.40   61.91   60.76   59.73   58.60   57.46   56.81   56.94   57.34   57.76   58.22   58.64   58.98   59.10   58.89   58.45   58.04   57.77   57.63   57.59   57.49   57.32   57.08   56.80   56.45   56.23   56.23
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.97  149.91  149.72  149.33  148.69  147.64  145.53  141.43  135.61  129.43  123.50  118.03  113.53  110.11  107.43  105.46  104.42  104.06  103.62  101.98   99.00   96.11   94.77   93.86   92.29   90.19   88.37   87.01   85.93   84.82   83.48   82.23   81.48   81.08   80.81   80.52   80.29   79.95   79.21   78.10   77.06   75.98   74.62   72.80   70.31   67.05   63.22   59.23   56.38   55.73   56.84   58.59   60.15   61.41   62.84   64.57   65.97   66.67   66.81   66.80   66.89   67.05   67.05   66.65   65.77   64.41   62.75   61.17   59.87   58.65   57.29   55.84   54.91   54.87   55.26   55.90   56.71   57.37   57.79   57.94   57.84   57.51   57.13   56.85   56.71   56.73   56.78   56.79   56.70   56.49   56.14   55.88   55.88
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.98  149.93  149.76  149.34  148.56  147.55  146.53  145.05  142.04  137.19  131.32  125.08  119.06  113.97  109.92  106.45  103.55  101.70  100.84  100.25   98.73   96.10   93.49   91.96   90.35   87.57   84.23   82.03   80.73   79.72   78.65   77.23   76.06   75.80   76.12   76.47   76.50   76.36   76.03   75.16   73.74   72.44   71.46   70.50   68.87   66.07   62.05   57.40   53.12   50.68   50.55   51.91   53.63   55.06   56.35   58.27   60.78   62.98   64.29   64.79   65.02   65.31   65.65   65.78   65.50   64.75   63.54   62.03   60.57   59.35   58.18   56.80   55.22   53.88   53.16   52.98   53.41   54.22   54.85   55.26   55.64   56.10   56.33   56.25   56.07   55.97   56.06   56.20   56.30   56.24   55.99   55.61   55.31   55.31
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.95  149.84  149.51  148.74  147.44  146.00  145.00  144.15  142.25  138.41  132.97  126.64  120.25  114.68  110.12  106.06  102.60  100.31   98.95   97.85   96.22   93.99   91.71   89.66   86.60   81.47   75.63   72.24   70.86   70.17   69.58   68.60   67.93   68.29   69.28   70.34   70.78   70.78   70.51   69.58   67.91   66.32   65.42   64.93   63.66   60.79   56.57   51.99   48.06   45.91   45.61   46.52   47.88   49.05   50.26   52.57   55.79   58.77   60.76   61.70   62.15   62.69   63.42   63.95   63.95   63.37   62.33   61.04   59.79   58.77   57.76   56.55   55.06   53.43   51.97   50.97   50.69   50.86   50.87   50.93   51.61   53.04   54.38   55.04   55.21   55.30   55.51   55.73   55.84   55.72   55.43   55.04   54.74   54.74
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.96  149.87  149.65  149.10  147.96  146.20  144.39  143.26  142.63  141.33  138.30  133.52  127.53  121.16  115.38  110.47  106.01  102.21   99.67   97.83   96.12   94.23   92.16   89.94   87.13   82.24   74.14   64.71   58.65   56.49   56.32   56.97   57.32   57.69   58.84   60.30   62.00   62.82   63.05   63.07   62.53   60.97   59.28   58.40   58.19   57.20   54.49   50.71   47.14   44.10   41.86   40.38   40.00   41.10   42.46   43.84   46.73   50.44   53.73   56.07   57.32   58.00   58.89   60.23   61.44   61.97   61.68   60.84   59.81   58.89   58.12   57.25   56.14   54.76   53.15   51.45   49.99   49.00   48.13   47.00   46.20   46.71   48.82   51.35   53.08   53.96   54.47   54.91   55.25   55.39   55.26   54.94   54.55   54.23   54.23
  150.00  150.00  150.00  150.00  150.00  150.00  150.00  150.00  149.99  149.97  149.90  149.69  149.24  148.37  146.83  144.76  142.84  141.65  140.92  139.74  137.26  133.26  127.91  121.83  116.01  110.83  105.99  101.91   99.11   96.81   94.52   92.24   89.98   87.40   83.60   76.97   66.45   53.93   44.52   40.90   41.23   43.31   45.07   46.21   48.59   50.37   52.33   52.72   53.05   53.75   54.77   53.84   52.14   51.07   50.58   49.82   47.55   44.56   42.14   39.98   37.37   34.34   32.66   34.91   36.82   37.74   41.45   45.53   48.32   50.53   52.11   53.22   54.58   56.50   58.38   59.50   59.66   59.19   58.52   57.93   57.39   56.63   55.51   54.09   52.56   51.02   49.58   48.35   46.88   44.97   43.31   43.05   44.78   47.67   50.20   51.90   53.08   53.95   54.53   54.77   54.67   54.35   53.93   53.60   53.60
